s_center,x,y,yaw,curvature,steering,d_delta_ds,segment_length,lateral_offset,speed_85,accel_85,steering_rate_85
8.431046883,8.431046883,-5.225837879,0.311048334,-0.033752050,-0.033739242,-0.059908786,0.104129720,-0.225837879,6.886481792,-4.500000000,-0.412560765
8.530235670,8.530235670,-5.194142718,0.307207559,-0.040031884,-0.040010520,-0.060595167,0.103992195,-0.194142718,6.818098268,-4.500000000,-0.413143804
8.629424456,8.629424456,-5.162902341,0.302715181,-0.046383645,-0.046350424,-0.061385290,0.103835772,-0.162902341,6.749113589,-4.500000000,-0.414296293
8.728613243,8.728613243,-5.132186674,0.297565888,-0.052817132,-0.052768100,-0.062273585,0.103661428,-0.132186674,6.679521860,-4.500000000,-0.415957775
8.827802030,8.827802030,-5.102065648,0.291753729,-0.059341528,-0.059272019,-0.057427216,0.103470278,-0.102065648,6.609316109,-4.500000000,-0.379554627
8.926990817,8.926990817,-5.072609190,0.285334611,-0.064753374,-0.064663097,-0.029059296,0.103267321,-0.072609190,6.538488123,-4.500000000,-0.190003865
9.026179604,9.026179604,-5.043873775,0.278615724,-0.065372555,-0.065279668,-0.000052002,0.103068287,-0.043873775,6.467025672,-4.500000000,-0.000336300
9.125368391,9.125368391,-5.015862058,0.271908992,-0.064764149,-0.064673827,0.005991918,0.102876823,-0.015862058,6.394904727,-4.500000000,0.038317747
9.224557178,9.224557178,-4.988563243,0.265278466,-0.064133374,-0.064045662,0.006217277,0.102692748,0.011436757,6.322097362,-4.500000000,0.039306229
9.323745964,9.323745964,-4.961966531,0.258725705,-0.063480811,-0.063395744,0.006437368,0.102515879,0.038033469,6.248574263,-4.500000000,0.040224372
9.422934751,9.422934751,-4.936061125,0.252252221,-0.062807049,-0.062724658,0.006652028,0.102346036,0.063938875,6.174304610,-4.500000000,0.041071649
9.522123538,9.522123538,-4.910836225,0.245859480,-0.062112689,-0.062032997,0.006861114,0.102183036,0.089163775,6.099255946,-4.500000000,0.041847689
9.621312325,9.621312325,-4.886281035,0.239548900,-0.061398339,-0.061321361,0.007064500,0.102026700,0.113718965,6.023394041,-4.500000000,0.042552265
9.720501112,9.720501112,-4.862384756,0.233321852,-0.060664613,-0.060590358,0.007262080,0.101876850,0.137615244,5.946682728,-4.500000000,0.043185287
9.819689899,9.819689899,-4.839136591,0.227179663,-0.059912127,-0.059840597,0.098099586,0.101733308,0.160863409,5.869083729,-4.500000000,0.575754683
9.918878686,9.918878686,-4.816525741,0.222078054,-0.040638635,-0.040616285,1.036169848,0.100877982,0.183474259,5.790556453,2.800000000,6.000000000
10.018067472,10.017325011,-4.794510107,0.227368749,0.151236596,0.150099112,0.963283885,0.097275261,0.205458591,5.839131848,2.800000000,5.624741610
10.117256259,10.111926617,-4.771860326,0.242321912,0.151402743,0.150261540,0.006405171,0.096735982,0.226827204,5.885592766,2.800000000,0.037698231
10.216445046,10.205662834,-4.747956939,0.257021869,0.152507934,0.151341787,0.011303956,0.096213191,0.247590896,5.931435214,2.800000000,0.067048681
10.315633833,10.298532614,-4.722813707,0.271749732,0.153634569,0.152442629,0.011579676,0.095706595,0.267760463,5.976681150,2.800000000,0.069208029
10.414822620,10.390534662,-4.696443735,0.286508889,0.154782766,0.153564156,0.011857016,0.095215899,0.287346705,6.021351551,2.800000000,0.071395260
10.514011407,10.481667408,-4.668859499,0.301302712,0.155952584,0.154706400,0.012135301,0.094740807,0.306360420,6.065466473,2.800000000,0.073606261
10.613200194,10.571928977,-4.640072877,0.316134554,0.157144022,0.155869338,0.012413848,0.094281018,0.324812404,6.109045102,2.800000000,0.075836758
